split,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
"[14, 8, 4, 2]",8,4,2,512,7806,3951,2014,4132,6108,3308,1752,1880,58957.88671875,ok
"[14, 8, 4, 2]",8,2,4,512,7842,3945,2012,4132,6685,3523,1834,1955,115364.8125,ok
"[14, 8, 4, 2]",16,8,2,512,7946,4031,2074,4132,6162,3338,1785,1903,60112.19140625,ok
"[14, 8, 4, 2]",16,4,4,512,8002,4063,2070,4132,6762,3558,1865,1977,116688.390625,ok
"[14, 8, 4, 2]",16,2,8,512,8074,4093,2088,4132,7172,3715,1918,2032,229186.4375,ok
"[14, 8, 4, 2]",32,16,2,512,8242,4207,2176,4132,6339,3439,1852,1970,62434.96484375,ok
"[14, 8, 4, 2]",32,8,4,512,8282,4243,2170,4132,6943,3675,1926,2033,118793.578125,ok
"[14, 8, 4, 2]",32,4,8,512,8394,4287,2182,4132,7424,3850,2000,2083,231838.640625,ok
"[14, 8, 4, 2]",32,2,16,512,8560,4369,2260,4132,7632,3929,2024,2111,455129.84375,ok
"[15, 7, 4, 2]",8,4,2,512,8254,3485,2014,4132,6419,2955,1753,1882,58587.18359375,ok
"[15, 7, 4, 2]",8,2,4,512,8294,3495,2012,4132,7018,3102,1827,1947,113976.8359375,ok
"[15, 7, 4, 2]",16,8,2,512,8432,3565,2074,4132,6501,2993,1793,1913,59500.50390625,ok
"[15, 7, 4, 2]",16,4,4,512,8474,3573,2070,3092,7095,3163,1866,1971,115094.3046875,ok
"[15, 7, 4, 2]",16,2,8,512,8574,3635,2088,4132,7585,3284,1920,2032,227283.125,ok
"[15, 7, 4, 2]",32,16,2,512,8734,3721,2176,4132,6663,3076,1856,1976,61276.828125,ok
"[15, 7, 4, 2]",32,8,4,512,8792,3733,2170,4132,7283,3239,1919,2025,117745.5234375,ok
"[15, 7, 4, 2]",32,4,8,512,8892,3789,2182,4132,7832,3408,1999,2082,230210.53125,ok
"[15, 7, 4, 2]",32,2,16,512,9072,3855,2260,4132,8077,3463,2023,2110,451203.59375,ok
"[15, 8, 3, 2]",8,4,2,512,8254,3951,1548,4132,6374,3297,1361,1862,57164.25,ok
"[15, 8, 3, 2]",8,2,4,512,8294,3945,1562,4132,7024,3513,1424,1951,111646.8515625,ok
"[15, 8, 3, 2]",16,8,2,512,8432,4031,1588,3092,6480,3350,1389,1893,58252.65625,ok
"[15, 8, 3, 2]",16,4,4,512,8474,4063,1600,4132,7102,3562,1442,1976,113222.28125,ok
