split,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_40gb_mb,peak_rank1_20gb_mb,peak_rank2_10gb_mb,peak_rank3_10gb_mb,avg_rank0_40gb_mb,avg_rank1_20gb_mb,avg_rank2_10gb_mb,avg_rank3_10gb_mb,total_latency_ms,status
"[24, 10, 4, 2]",8,4,2,512,27602,11091,4514,6070,20346,9507,4089,3344,109869.8828125,ok
"[24, 10, 4, 2]",8,2,4,512,27690,11123,4502,6070,22586,10000,4216,3423,213899.25,ok
"[24, 10, 4, 2]",16,8,2,512,28100,11301,4604,6070,20694,9658,4152,3395,113525.703125,ok
"[24, 10, 4, 2]",16,4,4,512,28178,11331,4610,6070,22798,10095,4250,3447,217847.59375,ok
"[24, 10, 4, 2]",16,2,8,512,28362,11403,4634,4790,24749,10516,4366,3518,425053.90625,ok
"[24, 10, 4, 2]",32,16,2,512,30638,12225,4792,6070,21327,9832,4240,3489,121090.90625,ok
"[24, 10, 4, 2]",32,8,4,512,29156,11751,4790,6070,23353,10295,4341,3526,225133.0625,ok
"[24, 10, 4, 2]",32,4,8,512,29350,11831,4822,4790,25308,10750,4466,3578,433307.0,ok
"[24, 10, 4, 2]",32,2,16,512,29726,11983,4858,6070,26734,11091,4566,3641,848371.9375,ok
"[25, 9, 4, 2]",8,4,2,512,28706,10007,4514,6070,20932,8683,4089,3339,108867.9140625,ok
"[25, 9, 4, 2]",8,2,4,512,28776,10017,4502,4790,23357,9095,4222,3425,211512.828125,ok
"[25, 9, 4, 2]",16,8,2,512,29204,10197,4604,6070,21333,8797,4158,3396,112458.0390625,ok
"[25, 9, 4, 2]",16,4,4,512,29306,10223,4610,6070,23610,9150,4248,3446,215631.15625,ok
"[25, 9, 4, 2]",16,2,8,512,29476,10287,4634,4790,25604,9516,4364,3517,420857.96875,ok
"[25, 9, 4, 2]",32,16,2,512,31858,11005,4792,6070,22024,9011,4258,3502,119755.8046875,ok
"[25, 9, 4, 2]",32,8,4,512,30304,10603,4790,4790,24145,9343,4343,3521,222811.6875,ok
"[25, 9, 4, 2]",32,4,8,512,30506,10675,4822,6070,26177,9705,4461,3571,428908.6875,ok
"[25, 9, 4, 2]",32,2,16,512,30896,10791,4858,4790,27710,10016,4560,3639,839267.5625,ok
"[25, 10, 3, 2]",8,4,2,512,28706,11091,3430,4790,20966,9510,3134,3339,106569.9375,ok
"[25, 10, 3, 2]",8,2,4,512,28776,11123,3414,6070,23250,9986,3213,3417,209068.0625,ok
"[25, 10, 3, 2]",16,8,2,512,29204,11301,3500,6070,21229,9576,3172,3373,109975.171875,ok
"[25, 10, 3, 2]",16,4,4,512,29306,11331,3502,6070,23564,10100,3250,3448,210628.53125,ok
"[25, 10, 3, 2]",16,2,8,512,29476,11403,3518,4790,25521,10492,3321,3515,411172.3125,ok
"[25, 10, 3, 2]",32,16,2,512,31818,12225,3678,6070,21901,9836,3283,3493,118122.8359375,ok
"[25, 10, 3, 2]",32,8,4,512,30304,11751,3642,6070,24051,10259,3311,3511,218333.390625,ok
"[25, 10, 3, 2]",32,4,8,512,30506,11831,3646,6070,26153,10736,3401,3576,419535.28125,ok
"[25, 10, 3, 2]",32,2,16,512,30896,11965,3686,6070,27693,11075,3473,3636,820232.75,ok
"[25, 10, 4, 1]",8,4,2,512,28706,11091,4514,5010,20920,9546,4101,2380,106409.078125,ok
"[25, 10, 4, 1]",8,2,4,512,28776,11123,4502,5010,23327,9983,4212,2419,206926.421875,ok
"[25, 10, 4, 1]",16,8,2,512,29204,11301,4604,5010,21265,9658,4149,2419,109854.515625,ok
"[25, 10, 4, 1]",16,4,4,512,29306,11331,4610,5010,23549,10108,4257,2443,211095.140625,ok
"[25, 10, 4, 1]",16,2,8,512,29476,11403,4634,3730,25541,10504,4364,2472,413946.53125,ok
"[25, 10, 4, 1]",32,16,2,512,31858,12225,4792,5010,21910,9866,4244,2520,117389.5390625,ok
"[25, 10, 4, 1]",32,8,4,512,30304,11751,4790,3730,24032,10282,4337,2489,217858.25,ok
"[25, 10, 4, 1]",32,4,8,512,30506,11831,4822,5010,26153,10730,4459,2516,422275.40625,ok
"[25, 10, 4, 1]",32,2,16,512,30896,11983,4858,5010,27673,11072,4560,2546,820526.25,ok
"[26, 8, 4, 2]",8,4,2,512,29790,8923,4514,6070,21666,7832,4092,3350,108430.546875,ok
"[26, 8, 4, 2]",8,2,4,512,29864,8927,4502,4790,24091,8156,4219,3426,209925.984375,ok
"[26, 8, 4, 2]",16,8,2,512,30308,9093,4604,6070,22035,7904,4148,3390,111607.2109375,ok
"[26, 8, 4, 2]",16,4,4,512,30414,9115,4610,4790,24366,8218,4255,3449,213212.28125,ok
"[26, 8, 4, 2]",16,2,8,512,30594,9171,4634,4790,26481,8510,4364,3517,417361.625,ok
"[26, 8, 4, 2]",32,16,2,512,33078,9835,4792,4790,22643,8080,4242,3484,118624.5234375,ok
"[26, 8, 4, 2]",32,8,4,512,31452,9455,4790,6070,24892,8389,4334,3517,220409.171875,ok
"[26, 8, 4, 2]",32,4,8,512,31642,9499,4822,6070,27049,8685,4456,3570,424453.28125,ok
