split,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_40gb_mb,peak_rank1_20gb_mb,peak_rank2_10gb_mb,peak_rank3_10gb_mb,avg_rank0_40gb_mb,avg_rank1_20gb_mb,avg_rank2_10gb_mb,avg_rank3_10gb_mb,total_latency_ms,status
"[20, 10, 5, 5]",8,4,2,512,20512,10207,5174,5488,11617,6208,3259,3550,86015.5859375,ok
"[20, 10, 5, 5]",8,2,4,512,15332,7599,3846,4162,11904,6207,3219,3519,158348.03125,ok
"[20, 10, 5, 5]",16,8,2,512,39490,19819,9328,9644,16585,8662,4357,4701,100676.625,ok
"[20, 10, 5, 5]",16,4,4,512,28192,13987,7034,7348,14577,7478,3847,4147,171348.78125,ok
"[20, 10, 5, 5]",16,2,8,512,17892,8887,4494,4810,13793,7029,3602,3909,314947.75,ok
"[21, 9, 5, 5]",8,4,2,512,21504,9215,5174,5488,12103,5625,3245,3534,85439.2421875,ok
"[21, 9, 5, 5]",8,2,4,512,16068,6863,3846,4162,12423,5637,3221,3521,157442.25,ok
"[21, 9, 5, 5]",16,8,2,512,38184,19375,9328,9644,16685,8017,4343,4695,99812.75,ok
"[21, 9, 5, 5]",16,4,4,512,29568,12611,7034,7348,15137,6744,3825,4118,169610.390625,ok
"[21, 9, 5, 5]",16,2,8,512,18756,8015,4494,4810,14404,6338,3592,3899,311524.4375,ok
"[21, 10, 5, 4]",8,4,2,512,21504,10207,5174,4496,12004,6180,3242,2935,83454.4296875,ok
"[21, 10, 5, 4]",8,2,4,512,16068,7599,3846,3482,12403,6204,3219,2922,154104.390625,ok
"[21, 10, 5, 4]",16,8,2,512,38184,19819,9328,9198,16491,8604,4345,4007,96762.015625,ok
"[21, 10, 5, 4]",16,4,4,512,29568,13987,7034,5972,15162,7463,3838,3412,164874.1875,ok
"[21, 10, 5, 4]",16,2,8,512,18756,8887,4494,3946,14385,7013,3598,3229,305059.0625,ok
"[22, 8, 5, 5]",8,4,2,512,22496,8223,5174,5488,12523,5074,3253,3541,84247.078125,ok
"[22, 8, 5, 5]",8,2,4,512,16804,6127,3846,4162,12891,5049,3207,3511,155061.65625,ok
"[22, 8, 5, 5]",16,8,2,512,39956,18677,9328,9644,17485,7409,4336,4683,97634.9453125,ok
"[22, 8, 5, 5]",16,4,4,512,30944,11235,7034,7348,15798,6046,3830,4131,166757.234375,ok
"[22, 8, 5, 5]",16,2,8,512,19620,7159,4486,4810,15009,5687,3589,3903,307369.5,ok
"[22, 9, 5, 4]",8,4,2,512,22496,9215,5174,4496,12478,5591,3235,2918,82535.8515625,ok
"[22, 9, 5, 4]",8,2,4,512,16804,6863,3846,3482,12852,5598,3199,2902,151821.625,ok
"[22, 9, 5, 4]",16,8,2,512,39956,19375,9328,9198,17412,7943,4327,3993,95740.9609375,ok
"[22, 9, 5, 4]",16,4,4,512,30944,12611,7034,5972,15702,6723,3818,3394,163259.828125,ok
"[22, 9, 5, 4]",16,2,8,512,19620,8015,4494,3946,14988,6340,3595,3227,301874.28125,ok
"[22, 10, 4, 4]",8,4,2,512,22496,10207,4182,4496,12400,6125,2619,2911,80864.984375,ok
"[22, 10, 4, 4]",8,2,4,512,16804,7599,3110,3482,12824,6170,2600,2903,148985.8125,ok
"[22, 10, 4, 4]",16,8,2,512,39956,19819,9596,9198,17361,8531,3853,3982,93856.0703125,ok
"[22, 10, 4, 4]",16,4,4,512,30944,13987,5658,5972,15686,7447,3107,3410,159878.34375,ok
"[22, 10, 4, 4]",16,2,8,512,19620,8887,3630,3946,14911,6974,2906,3211,295186.875,ok
"[22, 10, 5, 3]",8,4,2,512,22496,10207,5174,3504,12308,6160,3210,2309,80727.8515625,ok
"[22, 10, 5, 3]",8,2,4,512,16804,7599,3846,2874,12816,6152,3195,2299,148920.140625,ok
"[22, 10, 5, 3]",16,8,2,512,39994,19819,9328,8830,17348,8545,4313,3551,93554.171875,ok
"[22, 10, 5, 3]",16,4,4,512,30944,13987,7034,4596,15690,7447,3822,2680,159752.25,ok
"[22, 10, 5, 3]",16,2,8,512,19620,8887,4494,3074,14951,6994,3587,2532,296164.59375,ok
"[23, 7, 5, 5]",8,4,2,512,23488,7231,5174,5488,12967,4486,3241,3532,83367.296875,ok
"[23, 7, 5, 5]",8,2,4,512,17540,5391,3846,4162,13403,4461,3210,3507,153527.921875,ok
"[23, 7, 5, 5]",16,8,2,512,38894,19035,9328,9644,17624,7186,4323,4659,96337.359375,ok
"[23, 7, 5, 5]",16,4,4,512,32320,9859,7034,7348,16363,5342,3837,4134,165141.328125,ok
"[23, 7, 5, 5]",16,2,8,512,20484,6295,4486,4810,15620,5016,3590,3904,305089.71875,ok
"[23, 8, 5, 4]",8,4,2,512,23488,8223,5174,4496,12899,5048,3232,2928,81539.1953125,ok
"[23, 8, 5, 4]",8,2,4,512,17540,6127,3846,3482,13324,5021,3196,2900,150437.0,ok
"[23, 8, 5, 4]",16,8,2,512,38894,18677,9328,9198,17666,7340,4288,3954,94852.6640625,ok
"[23, 8, 5, 4]",16,4,4,512,32320,11235,7034,5972,16332,6024,3818,3395,161352.71875,ok
"[23, 8, 5, 4]",16,2,8,512,20484,7159,4494,3946,15565,5671,3586,3219,299150.0625,ok
"[23, 9, 4, 4]",8,4,2,512,23488,9215,4182,4496,12819,5583,2623,2921,80003.28125,ok
"[23, 9, 4, 4]",8,2,4,512,17540,6863,3110,3482,13293,5601,2601,2905,147320.171875,ok
"[23, 9, 4, 4]",16,8,2,512,38894,19375,9596,9198,17610,7903,3852,3963,92759.7109375,ok
"[23, 9, 4, 4]",16,4,4,512,32320,12611,5658,5972,16257,6727,3096,3396,158153.03125,ok
